biome,site,value,disturbance,forestcover_50,forestcover_10,year,forest10,forest50,rate10,rate50,cluster,x,y
boreal,FULUFJALLET,9,1,66814200,106994700,2009,118883,74238,8.411631604182263e-6,1.3470190468493225e-5,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,10,12,66814200,106994700,2010,118883,74238,1.0093957925018715e-4,1.616422856219187e-4,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,11,5,66814200,106994700,2011,118883,74238,4.2058158020911314e-5,6.735095234246613e-5,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,12,36,66814200,106994700,2012,118883,74238,3.028187377505615e-4,4.849268568657561e-4,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,13,15,66814200,106994700,2013,118883,74238,1.2617447406273395e-4,2.0205285702739836e-4,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,14,6,66814200,106994700,2014,118883,74238,5.046978962509358e-5,8.082114281095935e-5,1,12.739429569108696,61.54560240517525
boreal,GASPESIE,1,310,731528100,746279100,2001,829199,812809,3.7385476827637277e-4,3.813934146890598e-4,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,2,310,731528100,746279100,2002,829199,812809,3.7385476827637277e-4,3.813934146890598e-4,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,3,72,731528100,746279100,2003,829199,812809,8.683078488999625e-5,8.858169631487841e-5,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,4,80,731528100,746279100,2004,829199,812809,9.64786498777736e-5,9.842410701653156e-5,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,5,146,731528100,746279100,2005,829199,812809,1.7607353602693685e-4,1.796239953051701e-4,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,6,41,731528100,746279100,2006,829199,812809,4.944530806235897e-5,5.0442354845972426e-5,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,7,298,731528100,746279100,2007,829199,812809,3.593829707947067e-4,3.6662979863658003e-4,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,8,38,731528100,746279100,2008,829199,812809,4.582735869194247e-5,4.675145083285249e-5,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,9,956,731528100,746279100,2009,829199,812809,0.0011529198660393946,0.0011761680788475522,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,10,381,731528100,746279100,2010,829199,812809,4.5947957004289683e-4,4.6874480966623157e-4,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,11,107,731528100,746279100,2011,829199,812809,1.2904019421152221e-4,1.3164224313461095e-4,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,12,605,731528100,746279100,2012,829199,812809,7.29619789700663e-4,7.443323093125199e-4,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,13,356,731528100,746279100,2013,829199,812809,4.2932999195609257e-4,4.3798727622356543e-4,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,14,185,731528100,746279100,2014,829199,812809,2.2310687784235148e-4,2.2760574747572923e-4,2,-66.3635944596967,48.919246317512396
boreal,GODBOUT,1,10,192546900,194254200,2001,215838,213941,4.6331044579731095e-5,4.674185873675453e-5,2,-67.84602097188683,49.64752341291868
