biome,site,value,disturbance_ha,closedforest_ha,year,cluster,x,y
boreal,KOOTENAY,5,161.19,87552,2005,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,6,255.51,87552,2006,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,7,237.78,87552,2007,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,8,1032.03,87552,2008,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,9,52.83,87552,2009,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,10,66.96,87552,2010,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,11,50.309999999999995,87552,2011,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,12,141.84,87552,2012,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,13,198.9,87552,2013,3,-116.0313811570884,50.93531752049903
boreal,KOOTENAY,14,127.61999999999999,87552,2014,3,-116.0313811570884,50.93531752049903
boreal,LAHEMAA,1,0.27,4320,2001,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,2,0.8099999999999999,4320,2002,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,3,0,4320,2003,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,4,0.36,4320,2004,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,5,0.72,4320,2005,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,6,0,4320,2006,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,7,1.17,4320,2007,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,8,0.18,4320,2008,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,9,1.08,4320,2009,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,10,0.27,4320,2010,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,11,19.349999999999998,4320,2011,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,12,1.26,4320,2012,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,13,0,4320,2013,2,26.037399507301718,59.58148028056476
boreal,LAHEMAA,14,0,4320,2014,2,26.037399507301718,59.58148028056476
boreal,MALTIO,1,0,5184,2001,1,28.71938564936895,67.39581934033298
boreal,MALTIO,2,0,5184,2002,1,28.71938564936895,67.39581934033298
boreal,MALTIO,3,0,5184,2003,1,28.71938564936895,67.39581934033298
boreal,MALTIO,4,0,5184,2004,1,28.71938564936895,67.39581934033298
boreal,MALTIO,5,0,5184,2005,1,28.71938564936895,67.39581934033298
boreal,MALTIO,6,0,5184,2006,1,28.71938564936895,67.39581934033298
boreal,MALTIO,7,0.09,5184,2007,1,28.71938564936895,67.39581934033298
boreal,MALTIO,8,0,5184,2008,1,28.71938564936895,67.39581934033298
boreal,MALTIO,9,0.09,5184,2009,1,28.71938564936895,67.39581934033298
boreal,MALTIO,10,0.09,5184,2010,1,28.71938564936895,67.39581934033298
boreal,MALTIO,11,0,5184,2011,1,28.71938564936895,67.39581934033298
boreal,MALTIO,12,0.54,5184,2012,1,28.71938564936895,67.39581934033298
boreal,MALTIO,13,0.18,5184,2013,1,28.71938564936895,67.39581934033298
boreal,MALTIO,14,0.27,5184,2014,1,28.71938564936895,67.39581934033298
boreal,MPECHORO,1,105.92999999999999,631008,2001,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,2,71.64,631008,2002,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,3,34.56,631008,2003,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,4,65.52,631008,2004,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,5,25.47,631008,2005,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,6,81.63,631008,2006,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,7,87.39,631008,2007,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,8,328.68,631008,2008,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,9,137.07,631008,2009,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,10,494.28,631008,2010,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,11,72.89999999999999,631008,2011,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,12,93.33,631008,2012,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,13,42.66,631008,2013,2,58.81045237460245,62.50991174383526
boreal,MPECHORO,14,21.509999999999998,631008,2014,2,58.81045237460245,62.50991174383526
boreal,MUDDUS,1,0,4320,2001,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,2,0,4320,2002,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,3,0,4320,2003,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,4,0.18,4320,2004,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,5,0,4320,2005,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,6,0,4320,2006,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,7,0,4320,2007,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,8,0.09,4320,2008,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,9,0,4320,2009,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,10,0,4320,2010,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,11,0.36,4320,2011,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,12,2.25,4320,2012,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,13,2.52,4320,2013,2,20.197333506389757,66.91631560674142
boreal,MUDDUS,14,0.18,4320,2014,2,20.197333506389757,66.91631560674142
boreal,NAHANNI,1,1378.1699999999998,1060848,2001,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,2,2870.0099999999998,1060848,2002,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,3,981.18,1060848,2003,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,4,4177.08,1060848,2004,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,5,2053.5299999999997,1060848,2005,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,6,1001.16,1060848,2006,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,7,2369.0699999999997,1060848,2007,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,8,2105.37,1060848,2008,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,9,2158.83,1060848,2009,3,-125.88845506098424,61.609321488469774
boreal,NAHANNI,10,1815.3,1060848,2010,3,-125.88845506098424,61.609321488469774
