biome,site,value,disturbance_ha,openforest_ha,year,cluster,x,y
boreal,DENEZHKIN,12,0,3312,2012,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,13,0.54,3312,2013,3,59.48809548666293,60.5089723572197
boreal,DENEZHKIN,14,0,3312,2014,3,59.48809548666293,60.5089723572197
boreal,FARNEBOFJARDEN,1,0.8999999999999999,4176,2001,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,2,0.36,4176,2002,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,3,0.63,4176,2003,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,4,4.68,4176,2004,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,5,0.72,4176,2005,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,6,0.09,4176,2006,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,7,3.69,4176,2007,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,8,0.44999999999999996,4176,2008,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,9,0.8999999999999999,4176,2009,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,10,0.18,4176,2010,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,11,0.44999999999999996,4176,2011,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,12,2.34,4176,2012,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,13,0.63,4176,2013,1,16.784154196297216,60.2012067962209
boreal,FARNEBOFJARDEN,14,0,4176,2014,1,16.784154196297216,60.2012067962209
boreal,FULUFJALLET,1,0.09,8208,2001,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,2,0,8208,2002,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,3,0,8208,2003,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,4,0.63,8208,2004,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,5,0.27,8208,2005,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,6,0.09,8208,2006,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,7,0.09,8208,2007,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,8,0.09,8208,2008,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,9,0.09,8208,2009,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,10,0.36,8208,2010,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,11,0.36,8208,2011,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,12,0.36,8208,2012,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,13,0.18,8208,2013,1,12.739429569108696,61.54560240517525
boreal,FULUFJALLET,14,0,8208,2014,1,12.739429569108696,61.54560240517525
boreal,GASPESIE,1,0.18,2736,2001,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,2,0.09,2736,2002,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,3,0,2736,2003,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,4,0.09,2736,2004,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,5,0.09,2736,2005,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,6,0.09,2736,2006,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,7,0,2736,2007,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,8,0,2736,2008,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,9,0.18,2736,2009,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,10,0.27,2736,2010,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,11,0.18,2736,2011,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,12,0.36,2736,2012,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,13,0.99,2736,2013,2,-66.3635944596967,48.919246317512396
boreal,GASPESIE,14,0.72,2736,2014,2,-66.3635944596967,48.919246317512396
boreal,GODBOUT,1,0,864,2001,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,2,0,864,2002,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,3,0,864,2003,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,4,0,864,2004,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,5,0,864,2005,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,6,0,864,2006,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,7,0,864,2007,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,8,0,864,2008,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,9,0,864,2009,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,10,0,864,2010,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,11,0,864,2011,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,12,0,864,2012,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,13,0,864,2013,2,-67.84602097188683,49.64752341291868
boreal,GODBOUT,14,0,864,2014,2,-67.84602097188683,49.64752341291868
boreal,GRIDINO,1,0,3456,2001,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,2,0.09,3456,2002,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,3,0,3456,2003,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,4,0,3456,2004,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,5,0.09,3456,2005,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,6,0.09,3456,2006,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,7,0.36,3456,2007,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,8,0,3456,2008,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,9,0.36,3456,2009,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,10,0,3456,2010,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,11,14.04,3456,2011,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,12,3.78,3456,2012,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,13,1.08,3456,2013,2,34.63680250634943,65.91443761097501
boreal,GRIDINO,14,2.61,3456,2014,2,34.63680250634943,65.91443761097501
boreal,GUERNESE,1,0.18,36720,2001,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,2,0.18,36720,2002,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,3,0,36720,2003,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,4,0.27,36720,2004,2,-57.895799136789165,51.87080683037174
boreal,GUERNESE,5,4.32,36720,2005,2,-57.895799136789165,51.87080683037174
